tag,ID,dateRevocation,allowance
T,07B5D3F3662EFB494E5D300C75BE52DD6E4AD4765EFE8811206EE5E4B82071BC883881A5C8E961E6D8FC25B942315D4C0EB3D065BDED696273192092F7814619311E8B92B70DDBBED81F4D2764F80DD8E5E07DB8F605EAF9EDFCFF161A3435375BD1CE10D0B322E76FC83DF4D09CFF952B6626196AB530CEBDEA7B498EE474E5,Sun May 15 13:11:39 CEST 2016,4
tag,ID,dateRevocation,allowance
T,120230E5C1F76CE192A99C9768FCC14DD4F1B2BE74BFDC2351BFCFB8AB61E654F17BA411779681F5E7CF5C35F4068A2584365429DF3E87091959C9AB1CEFFDEF76139F3738480C5B7FCF524429048840347DBE923ACAED23659AA492DD730BBCADE3718D90D6B9C00A4340B28E504C54B1FC2AED0FEBA7ABFB5643464474DF5D,Sun May 15 13:12:09 CEST 2016,4
tag,ID,dateRevocation,allowance
C,120230E5C1F76CE192A99C9768FCC14DD4F1B2BE74BFDC2351BFCFB8AB61E654F17BA411779681F5E7CF5C35F4068A2584365429DF3E87091959C9AB1CEFFDEF76139F3738480C5B7FCF524429048840347DBE923ACAED23659AA492DD730BBCADE3718D90D6B9C00A4340B28E504C54B1FC2AED0FEBA7ABFB5643464474DF5D,Sun May 15 13:12:09 CEST 2016,20
tag,ID,dateRevocation,allowance
T,790416D860BE699E6A58A9E933AAB231C7331652A23D36665AD569A4A8A7C4A4534CD2808CB80C5FECFFB8754C311B09A457AE2F327B94D4A183C809AC8D8E0DB4CB7D9001A8D8F0E61F37BAE8B145945B0E749B1973C61341957FA03DC5DAE3DC4742B704717467D80C7B80D467AE8AA7539F7D45303EF2A06C90E30BFF20F9,Sun May 15 13:13:08 CEST 2016,4
tag,ID,dateRevocation,allowance
C,790416D860BE699E6A58A9E933AAB231C7331652A23D36665AD569A4A8A7C4A4534CD2808CB80C5FECFFB8754C311B09A457AE2F327B94D4A183C809AC8D8E0DB4CB7D9001A8D8F0E61F37BAE8B145945B0E749B1973C61341957FA03DC5DAE3DC4742B704717467D80C7B80D467AE8AA7539F7D45303EF2A06C90E30BFF20F9,Sun May 15 13:13:08 CEST 2016,20
tag,ID,dateRevocation,allowance
T,2878E8B2264B06A121F930C1C8A998EE245F6C13A170F4A4A419E409C0AE3C794F96C8D8D672ACC2A5D349EB85A0D4627867B62B314DAD57B9A52CDAD7FD2CC7FEE34C01DC20D70F2026651A5799D82DAB4DAA4D69894EF5340FC21DB5A196B3AD9848F801B0DE517B8FD11F3B3B94D161D7E8310DBCA032A744761FF4A76AD2,Sun May 15 13:15:38 CEST 2016,4
tag,ID,dateRevocation,allowance
C,2878E8B2264B06A121F930C1C8A998EE245F6C13A170F4A4A419E409C0AE3C794F96C8D8D672ACC2A5D349EB85A0D4627867B62B314DAD57B9A52CDAD7FD2CC7FEE34C01DC20D70F2026651A5799D82DAB4DAA4D69894EF5340FC21DB5A196B3AD9848F801B0DE517B8FD11F3B3B94D161D7E8310DBCA032A744761FF4A76AD2,Sun May 15 13:15:38 CEST 2016,20
